skill_no,skill_name,campaign_no,media_type
18556375,Aetna Outbound,5684843,4
16370076,AHP_Outbound,5684308,4
18556352,Atrio Outbound,5684841,4
18556332,BCBS MI Outbound,5684836,4
18556322,BCBS NC Outbound,5684834,4
18556327,BCBS SC Outbound,5684835,4
16438864,Bright_Outbound,5684309,4
23067100,Buckeye Outbound,5804466,4
18556099,CareFirst Outbound,5684721,4
23067553,CareFirst_Medicaid_Outbound,5804548,4
20999361,Complaints_Callback_Outbound,5684330,4
27192315,Credentialing_Outbound,5804698,4
10446322,Default Skill 4601541,5629094,4
16369895,DHP - Outbound,5684419,4
18556342,Eternal Outbound,5684838,4
18556337,Excellus Outbound,5684837,4
31292601,Executive_Assistance_Outbound,5684330,4
23112946,Facilities - Outbound,5631546,4
35627973,Focus Member Outbound,5684330,4
20948106,FWA - Outbound,5631546,4
23067542,Humana_Group_Outbound,5804544,4
23112853,Humana_Ind_Outbound,5804545,4
16438860,IHA_Outbound,5684311,4
10660523,KCA Outbound,5631653,4
16438861,KPCO_Outbound,5684306,4
16438862,KPGA_Outbound,5684307,4
11384818,KPMA - Outbound,5684187,4
18556347,Medigold Outbound,5684840,4
23067099,Meridian Outbound,5804414,4
20725205,Network Development,5631546,4
16362700,NPX Dialer,5684390,4
10826825,NTL_OB,5631546,4
16362104,Priority Outbound,5684310,4
18556553,SCAN Outbound,5684858,4
16472675,Sendero_Health_Outbound,5684663,4
23112782,Sonder Outbound,5685077,4
23067367,Sunflower_Outbound,5804532,4
10826824,Superior - Outbound,5631688,4
16438863,Troy_Outbound,5684312,4
35627284,TXCHP_Outbound,5805115,4
35627283,UHC_FM_Outbound,5805114,4
18556357,Uride Outbound,5684839,4
23113200,WellcareAR_Outbound,5804585,4
23113084,WellcareKS_Outbound,5804583,4
18557040,BCBSNC2023VoicemailEN,5684834,4
18557041,BCBSNC2023VoicemailSP,5684834,4
10660519,Care Provider Support,5631546,4
18557044,CareFirstVoicemailEN,5684721,4
18557045,CareFirstVoicemailSP,5684721,4
16369891,DHPe_PTP,5684419,4
16369892,DHPs_PTP,5684419,4
18557042,ExcellusVoicemailEN,5684837,4
18557043,ExcellusVoicemailSP,5684837,4
18620031,Omni Transfer Reserve MA En,5684917,4
18620032,Omni Transfer Reserve MA Sp,5684917,4
20669957,Omni Transfer Reserve SHP En,5684917,4
20669958,Omni Transfer Reserve SHP Sp,5684917,4
20669825,Omni Transfer WMR MA En,5684917,4
20669826,Omni Transfer WMR MA Sp,5684917,4
20669959,Omni Transfer WMR SHP En,5684917,4
20669960,Omni Transfer WMR SHP Sp,5684917,4
10706257,Superior - Alt Transport - EN,5631688,4
10706306,Superior - Alt Transport - SP,5631688,4
10706315,Superior - Complaint- EN,5631688,4
10706316,Superior - Complaint- SP,5631688,4
10706311,Superior - ITP - EN,5631688,4
10706312,Superior - ITP - SP,5631688,4
10706313,Superior - Long Distance - EN,5631688,4
10706314,Superior - Long Distance - SP,5631688,4
10706308,Superior - Reservations - SP,5631688,4
10706256,Superior - Reservations EN,5631688,4
10826936,Superior - Star Health In CO,5631688,4
10826937,Superior - Star Health Out CO,5631688,4
10826923,Superior - Star Kid In CO CTY,5631688,4
10826924,Superior - Star Kid Out CO CTY,5631688,4
10706258,Superior - Wheres My Ride - EN,5631688,4
10706307,Superior - Wheres My Ride - SP,5631688,4
20827233,Testskill001,5631688,4
20827234,Testskill002,5631688,4
18556354,URide_Reserv SP,5684839,4
18556376,URide_WMR SP,5684839,4
20922626,aayyb,5631546,4
20922608,adrbp,5631546,4
20922595,aqazx,5631546,4
20922617,barqa,5631546,4
20922631,bazca,5631546,4
20922615,bbzrx,5631546,4
20922609,bcadd,5631546,4
20922610,bccbb,5631546,4
20922606,byqpb,5631546,4
20922603,cbbqp,5631546,4
20922612,cpyca,5631546,4
20922628,cybzy,5631546,4
20922622,cyxdc,5631546,4
20922625,dqdar,5631546,4
20922598,pbxcr,5631546,4
20922623,pcxpx,5631546,4
20922629,ppxaa,5631546,4
20922602,pxdzz,5631546,4
20922597,qbdcq,5631546,4
20922620,qyady,5631546,4
20922611,qzydq,5631546,4
20922613,rpxar,5631546,4
20922607,rqxrq,5631546,4
20922592,rrydz,5631546,4
20922594,rxpyc,5631546,4
20922600,ryxdq,5631546,4
20922616,ryzpx,5631546,4
20922596,rzyaz,5631546,4
10660753,test outbound,5631546,4
20922621,xbcqb,5631546,4
20922614,xdczy,5631546,4
20922630,xqbqz,5631546,4
20922624,xrzxz,5631546,4
20922619,xxqdc,5631546,4
20922604,yapdc,5631546,4
20922618,ybcrp,5631546,4
20922627,yczyr,5631546,4
20922601,zaazq,5631546,4
20922599,zccpb,5631546,4
20922605,zcrxc,5631546,4
20922593,zxbay,5631546,4
18557065,BCBSNC2023VoicemailENG,5684834,5
18619134,BCBSNC2023VoicemailSPN,5684834,5
18619131,CareFirstVoicemailENG,5684721,5
18619132,CareFirstVoicemailSPN,5684721,5
18619129,ExcellusVoicemailENG,5684837,5
18619130,ExcellusVoicemailSPN,5684837,5
10826922,Superior - Billing Voicemail,5631688,5
20755077,VM_Marketing_EN,5631546,5
20754998,VM_Michigan_EN,5684836,5
20754999,VM_Michigan_SP,5684836,5
20755076,VM_Sales_EN,5631546,5
10706317,Superior - Complaint - EN - VM,5631688,5
10706318,Superior - Complaint - SP - VM,5631688,5
23067101,Alignment_Chat,5685076,9
23067102,Bright_BND_Chat,5685076,9
23067107,Bright_CHP_Chat,5685076,9
20789168,DFO Fallback Chat,5685076,9
23067103,KPCO_Chat,5685076,9
23067104,KPGA_Chat,5685076,9
23067105,KPMA_Chat,5685076,9
23067493,Test_Chat,5685076,9
20789169,MA_English_Chat,5685076,9
20789167,MA_English_Chat_Dev,5685076,9
20789170,Medicaid_English_Chat,5685076,9
20789122,Medicaid_English_Chat_Dev,5685076,9
23067106,Superior_Chat,5685076,9
23113247,Aetna_Member_App,5685076,3
23113249,Alignment_Member_App,5685076,3
23113248,Atrio_Member_App,5685076,3
23113250,Bcbs_NC_Member_App,5685076,3
23113251,BCBS_SC__Member_App,5685076,3
23112787,Bright_Member_App,5685076,3
31292359,Buckeye_Member_App,5685076,3
23067108,Chat_Invite,5685076,3
23113252,Christus_Member_App,5685076,3
31292361,Community_First_Member_App,5685076,3
31292360,DHP_Member_App,5685076,3
23113253,Eternal_Member_App,5685076,3
23113254,KPCO_Member_App,5685076,3
23113255,KPGA_Member_App,5685076,3
23113256,KPMA_Member_App,5685076,3
23113655,Meridian_Member_App,5685076,3
20999124,SMS_8559557433_Test,5804448,3
23113257,Ultimate_Member_App,5685076,3
23113656,Wellcare_Member_App,5685076,3
23067492,Delete Me,5685076,3
31292522,ACA_BCBS_NC_Reserv_Email_En,5805065,4
31292523,ACA_BCBS_NC_Reserv_Email_Sp,5805065,4
31292526,ACA_BCBS_NC_Reserv_Other_En,5805065,4
31292527,ACA_BCBS_NC_Reserv_Other_Sp,5805065,4
31292524,ACA_BCBS_NC_WMR_Email_En,5805065,4
31292525,ACA_BCBS_NC_WMR_Email_Sp,5805065,4
31292528,ACA_BCBS_NC_WMR_Other_En,5805065,4
31292529,ACA_BCBS_NC_WMR_Other_Sp,5805065,4
18556371,Aetna_Reserv EN,5684843,4
18556372,Aetna_Reserv SP,5684843,4
18556373,Aetna_WMR EN,5684843,4
18556374,Aetna_WMR SP,5684843,4
16361882,AHP_After_Hours_EN,5684308,4
16361883,AHP_After_Hours_SP,5684308,4
16369903,AHP_Mandarin WMR,5684308,4
16369902,AHP_Mandarin_Reserv,5684308,4
16369901,AHP_Vietnamese WMR,5684308,4
16369900,AHP_Vietnamese_Reserv,5684308,4
16361878,Alignment Health Reserv EN,5684308,4
16361880,Alignment Health WMR EN,5684308,4
16361881,Alignment Health WMR SP,5684308,4
16361879,Alignment_HP Reservations SP,5684308,4
18556364,Atrio WMR SP,5684841,4
18556348,Atrio_Reserv EN,5684841,4
18556349,Atrio_Reserv SP,5684841,4
18556350,Atrio_WMR EN,5684841,4
18556840,BCBS _NC_After_Hours_EN,5684834,4
18556841,BCBS _NC_After_Hours_SP,5684834,4
18556328,BCBS MI_Reserv EN,5684836,4
18556329,BCBS MI_Reserv SP,5684836,4
18556330,BCBS MI_WMR EN,5684836,4
18556360,BCBS MI_WMR SP,5684836,4
18556318,BCBS NC_Reserv EN,5684834,4
18556319,BCBS NC_Reserv SP,5684834,4
18556320,BCBS NC_WMR EN,5684834,4
18556358,BCBS NC_WMR SP,5684834,4
18556323,BCBS SC_Reserv EN,5684835,4
18556324,BCBS SC_Reserv SP,5684835,4
18556325,BCBS SC_WMR EN,5684835,4
18556359,BCBS SC_WMR SP,5684835,4
20999279,Billing_Claims_Transfer,5684330,4
18556810,Brand New Day Reservations EN,5684309,4
18556812,Brand New Day Reservations MD,5684309,4
18556811,Brand New Day Reservations SP,5684309,4
18556813,Brand New Day WMR EN,5684309,4
18556815,Brand New Day WMR MD,5684309,4
18556814,Brand New Day WMR SP,5684309,4
16361886,Bright Health WMR EN,5684309,4
18556809,Bright Health WMR MD,5684309,4
16361887,Bright Health WMR SP,5684309,4
16361884,Bright Health_Reservations EN,5684309,4
18556808,Bright Health_Reservations MD,5684309,4
16361885,Bright Health_Reservations SP,5684309,4
23112811,Buckeye_After_Hours_EN,5804466,4
23112812,Buckeye_After_Hours_SP,5804466,4
27191858,Buckeye_ED_Discharge,5804466,4
20999305,Buckeye_GMR_EN,5804466,4
20999306,Buckeye_GMR_SP,5804466,4
20999307,Buckeye_MR_EN,5804466,4
20999308,Buckeye_MR_SP,5804466,4
20999311,Buckeye_Reserve_EN,5804466,4
20999312,Buckeye_Reserve_SP,5804466,4
23066776,Buckeye_Waiver_EN,5804466,4
20999309,Buckeye_WMR_EN,5804466,4
20999310,Buckeye_WMR_SP,5804466,4
10660518,Care Provider Support Line,5631546,4
16472782,CareFirst Reservations EN,5684721,4
16472783,CareFirst Reservations SP,5684721,4
16472784,CareFirst WMR EN,5684721,4
16472785,CareFirst WMR SP,5684721,4
23112854,CareFirst_Caid_After_Hours_EN,5804548,4
23112855,CareFirst_Caid_After_Hours_SP,5804548,4
23067554,CareFirst_Medicaid_Reserve_EN,5804548,4
23067555,CareFirst_Medicaid_Reserve_SP,5804548,4
23067558,CareFirst_Medicaid_VM_EN,5804548,4
23067559,CareFirst_Medicaid_VM_SP,5804548,4
23067556,CareFirst_Medicaid_WMR_EN,5804548,4
