"flow_id","step_id","action_type","content","default_next","label"
"landing_aetnahealth_sl","l39_check","CHECK","{""branches"":{""M"":{""True"":{""S"":""s31""},""False"":{""S"":""""}}},""expression"":{""S"":""AHLoop < 1""}}","","Loop x1: AHLoop < 1"
"landing_aetnahealth_sl","l39_incr","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""AHLoop"":{""S"":""AHLoop++""}}}}","l39_check","Loop x1: AHLoop++"
"landing_aetnahealth_sl","l39_init","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""AHLoop"":{""N"":""0""}}}}","l39_incr","Loop x1: init counter"
"landing_aetnahealth_sl","m10_check","CHECK","{""branches"":{""M"":{""1"":{""S"":""sn22_c0_g0_if""},""2"":{""S"":""sn22_c1_g0_if""},""3"":{""S"":""s48""},""null"":{""S"":""m10_incr""}}},""var"":{""S"":""AHPMenu_RES""}}","m10_incr","AetnaHealth Menu: check digit"
"landing_aetnahealth_sl","m10_exit_play","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""No se seleccionó ninguna opción. Adiós.""},""eng"":{""S"":""No option has been selected. Goodbye.""}}}}","s21","AetnaHealth Menu: max retries"
"landing_aetnahealth_sl","m10_gather","GATHER","{""variable"":{""S"":""AHPMenu_RES""},""text"":{""M"":{""spa"":{""S"":""Por favor, escuche atentamente las siguientes opciones.\n\nSi llama para programar un viaje nuevo, o para confirmar o hacer cambios a un viaje existente, oprima uno.\n\nSi llama por “¿Dónde está mi viaje?”, oprima dos.\n\nSi es un miembro nuevo, oprima tres.""},""eng"":{""S"":""Please listen carefully to the following options.\n\nIf you are calling to schedule a new trip, or to confirm or make changes to an existing trip, press 1.\n\nIf you are calling for “Where’s My Ride,” press 2.\n\nIf you are a new member, press 3.""}}},""branches"":{""M"":{}},""num_digits"":{""S"":""1""},""timeout"":{""S"":""5""}}","m10_check","AetnaHealth Menu: gather"
"landing_aetnahealth_sl","m10_incr","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""MenuLoop"":{""S"":""MenuLoop++""},""AHPMenu_RES"":{""S"":""""}}}}","m10_limit","AetnaHealth Menu: increment retry"
"landing_aetnahealth_sl","m10_limit","CHECK","{""branches"":{""M"":{""True"":{""S"":""m10_retry_play""},""False"":{""S"":""m10_exit_play""}}},""expression"":{""S"":""MenuLoop < 3""}}","","AetnaHealth Menu: retry limit"
"landing_aetnahealth_sl","m10_reset","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""MenuLoop"":{""N"":""0""},""AHPMenu_RES"":{""NULL"":true}}}}","m10_gather","AetnaHealth Menu: reset"
"landing_aetnahealth_sl","m10_retry_play","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""Lo sentimos, esa opción no es válida. Por favor, intente de nuevo.""},""eng"":{""S"":""I’m sorry, that was an invalid option. Please try again.""}}}}","m10_gather","AetnaHealth Menu: retry prompt"
"landing_aetnahealth_sl","m15_check","CHECK","{""branches"":{""M"":{""1"":{""S"":""s17""},""2"":{""S"":""s16""},""null"":{""S"":""s30""}}},""var"":{""S"":""MRES""}}","s30","Aetna Greeting: check digit"
"landing_aetnahealth_sl","m15_gather","GATHER","{""variable"":{""S"":""MRES""},""text"":{""M"":{""spa"":{""S"":""Para espanol, presione 2.""},""eng"":{""S"":""Thank you for calling Aetna Health Transportation provided by Saferide Health.\nIf this is a medical emergency, please hang up and dial 911.\nFor English, please press 1.""}}},""branches"":{""M"":{}},""num_digits"":{""S"":""1""},""timeout"":{""S"":""5""}}","m15_check","Aetna Greeting: gather"
"landing_aetnahealth_sl","m15_reset","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""MRES"":{""NULL"":true}}}}","m15_gather","Aetna Greeting: reset"
"landing_aetnahealth_sl","m51_check","CHECK","{""branches"":{""M"":{""1"":{""S"":""sn52_c0_g0_a0""},""null"":{""S"":""s50""}}},""var"":{""S"":""skillRES""}}","","Skill Menu: check digit"
"landing_aetnahealth_sl","m51_gather","GATHER","{""variable"":{""S"":""skillRES""},""text"":{""M"":{""spa"":{""S"":""""},""eng"":{""S"":""Want to book and manage rides even more quickly and privately using your phone? Press 1 to receive a text message with a link to open your member portal""}}},""branches"":{""M"":{}},""num_digits"":{""S"":""1""},""timeout"":{""S"":""6""}}","m51_check","Skill Menu: gather"
"landing_aetnahealth_sl","m51_reset","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""skillRES"":{""NULL"":true}}}}","m51_gather","Skill Menu: reset"
"landing_aetnahealth_sl","s12","TRANSFER","{""branches"":{""M"":{}},""transferType"":{""S"":""CONNECT""},""digits"":{""S"":""{{uid}}""}}","","KPMA Queue"
"landing_aetnahealth_sl","s16","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""Lang"":{""S"":""SP""}}}}","s30","Lang = SP"
"landing_aetnahealth_sl","s17","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""Lang"":{""S"":""eng""}}}}","s30","Lang = EN"
"landing_aetnahealth_sl","s21","HANGUP","{""branches"":{""M"":{}}}","","Hangup"
"landing_aetnahealth_sl","s30","HOURS","{""hoo_arn"":{""S"":""2028""},""branches"":{""M"":{""default"":{""S"":""""},""Closed"":{""S"":""s31""},""Open"":{""S"":""s34""}}}}","","Aetna Hours"
"landing_aetnahealth_sl","s31","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""\""Gracias por llamar a Aetna  Health Transportation Managed by SafeRide, nuestras oficinas están actualmente cerradas. Vuelva a llamar durante el horario comercial habitual de 6:00a - 6:00ap PST de lunes a sábado.\""""},""eng"":{""S"":""\""Thank you for calling Aetna  Health Transportation Managed by SafeRide, our offices are currently closed. Please call back during regular business hours 6:00a - 6:00ap PST, Monday thru Saturday.\""""}}}}","l39_init","After Hours Message"
"landing_aetnahealth_sl","s33","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""Esta llamada se esta garbando por motivois de calidad y propositos de entrenamiento.  Para protejerlo a usted y a su conductor use se mascara en todo momento durante su transporte.""},""eng"":{""S"":""This call may be recorded for quality and training purposes.  To protect you and your drivers, please wear a mask at all times in transport.""}}}}","s12","QA and Mask up"
"landing_aetnahealth_sl","s34","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""\""Nuestro horario normal de operaciones es de Lunes a Sabado de 6:00a - 6:00ap CST. Cerrado Domingo.\""""},""eng"":{""S"":""\""We are open to schedule Monday - Saturday from 6:00a - 6:00ap CST, Closed Sunday.\""""}}}}","m10_reset","Scheduling Hours"
"landing_aetnahealth_sl","s36","HANGUP","{""branches"":{""M"":{}}}","","Hangup"
"landing_aetnahealth_sl","s40","HANGUP","{""branches"":{""M"":{}}}","","Hangup"
"landing_aetnahealth_sl","s41","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""""},""eng"":{""S"":""Thank you for calling SafeRide Health. The account associated with this phone number is not eligible for a transportation benefit at this time. Goodbye.""}}}}","s40","Play Ineligible Prompt"
"landing_aetnahealth_sl","s42","CHECK","{""branches"":{""M"":{""True"":{""S"":""s41""},""False"":{""S"":""m15_reset""}}},""expression"":{""S"":""BlockCall == 1""}}","","If BlockCall = true"
"landing_aetnahealth_sl","s47","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""QueueSkill"":{""S"":""18556371""},""SkillWhisper"":{""S"":""Aetna_Reserv EN""}}}}","s33","Assign Res"
"landing_aetnahealth_sl","s48","CHECK","{""branches"":{""M"":{""True"":{""S"":""s47""},""False"":{""S"":""s49""}}},""expression"":{""S"":""Lang == 'eng'""}}","","Lang"
"landing_aetnahealth_sl","s49","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""QueueSkill"":{""S"":""18556372""},""SkillWhisper"":{""S"":""Aetna_Reserv SP""}}}}","s33","Assign Res"
"landing_aetnahealth_sl","s50","CHECK","{""branches"":{""M"":{""True"":{""S"":""s54""},""False"":{""S"":""s12""}}},""expression"":{""S"":""Lang == 'eng'""}}","","Lang"
"landing_aetnahealth_sl","s53","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""QueueSkill"":{""S"":""27191801""}}}}","s33","Assign MemberApp"
"landing_aetnahealth_sl","s54","TRANSFER","{""transferType"":{""S"":""SIP""},""X-SkillWhisper"":{""S"":""{{SkillWhisper}}""},""branches"":{""M"":{}},""X-SkillId"":{""S"":""{{QueueSkill}}""},""X-UID"":{""S"":""{{uid}}""}}","s56","Spawn"
"landing_aetnahealth_sl","s56","PLAY","{""branches"":{""M"":{}},""text"":{""M"":{""spa"":{""S"":""""},""eng"":{""S"":""""}}}}","s57","Play"
